,Year,target,source,Rice_T_N_kg,Rice_T_P_kg,N_surplus_rice,P_surplus_rice,N_leach_image_rice,P_los_rice,Wheat_T_N_kg,Wheat_T_P_kg,N_leach_image_Wheat,P_loss_wheat,n_leach_r_w,P_leach_r_w,grey_water_r_w_liter,grey_water_r_w_BCM
0,2009,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2009,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2009,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2009,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2009,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2009,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2009,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2009,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2009,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2009,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2009,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2009,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2009,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2009,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2009,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2009,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2009,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2009,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2009,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2009,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2009,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2009,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2009,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2009,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2009,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2009,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2009,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2009,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2009,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2009,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2009,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2009,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2009,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2009,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2009,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2009,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2010,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2010,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2010,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2010,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2010,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2010,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2010,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2010,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2010,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2010,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2010,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2010,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2010,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2010,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2010,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2010,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2010,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2010,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2010,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2010,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2010,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2010,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2010,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2010,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2010,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2010,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2010,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2010,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2010,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2010,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2010,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
