STATE,DISTRICT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MADHYA PRADESH,JHABUA,13.58,16.74,15.69,15.57,14,12.94,11.68,11.41,11.68,7.15,11.06,11.77,10.4,12.66,9.64,9.16,9.3,10.28,10.65,4.12
JAMMU & KASHMIR,JAMMU,8.1,9.38,7.64,-,7.81,8.7,7.1,8.04,7.98,8.93,7.81,7.72,7.42,5.98,5.49,6.99,6.95,7.33,7.08,5.01
BIHAR,DARBHANGA,3.24,4.24,3.05,3.35,4.33,4.89,4.15,4,4.57,4.57,4.05,4.3,4.29,4.48,4.44,5.59,3.93,4.19,5.41,3.31
BIHAR,SHEOHAR,3.58,3.76,3.74,3.91,3.87,5.46,3.69,4.48,3.29,3.29,3.16,5.06,3.67,3.44,2.76,5.68,4.04,3.98,6.11,2.87
MIZORAM,LUNGLEI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MADHYA PRADESH,MORENA,13.24,13.5,14.66,15.68,16.55,15.34,15.67,18.42,16.04,15.52,16.78,16.36,16.5,13.66,16.98,19.05,16.64,17.56,13.71,14.37
GUJARAT,NARMADA,13.24,9.35,12.66,10.92,11.82,9.24,10.77,9.28,10.37,10.55,8.82,10.57,10.68,10.54,11.19,10.69,10.02,11.49,12.14,7.86
RAJASTHAN,ALWAR,16.83,16.99,18.43,-,21.26,21.19,22.76,21.83,22.83,25.11,25.97,27.16,25.67,26.77,28.89,29.76,33.61,33.05,36.88,34.72
ASSAM,SONITPUR,3.84,3.27,3.12,1.93,3.51,3.69,3.02,4.18,4.36,4.2,4.16,4.28,4.05,4.39,4.4,4.26,4.62,4.39,3.93,3.44
TAMILNADU,CUDDALORE,7.92,7.54,16.26,7.68,15.41,11.55,16.39,11.72,17.9,9.09,18.06,4.62,7.28,18.98,13.34,10.1,17.69,35.57,20.16,12.35
CHHATTISGARH,JANJGIR-CHAMPA,7.6,9.34,8.2,6.76,6.11,6.77,6.43,6.84,6.81,6.19,7.53,6.96,5.42,7.34,10.37,7.97,5.81,8.67,6.92,4.7
ODISHA,GANJAM,5.18,5.59,5.97,4.96,5.68,5.31,5.26,6.34,5.54,5.42,4.58,5.94,5.09,5.19,4.29,4.05,5.06,4.1,4.56,2.73
ASSAM,TINSUKIA,3.13,3.19,3.32,1.6,2.51,2.55,3.58,3.65,4.13,3.9,3.92,4.17,4.18,3.13,2,3.26,2.77,2.27,3.08,2.97
ANDHRA PRADESH,ANANTAPUR,8.91,8.52,11.84,12.06,17.62,12.06,15.5,11.65,10.96,12.48,10.44,13.87,17,17.71,22.48,18.89,25.53,16.73,13.58,18.97
ANDHRA PRADESH,KURNOOL,6.55,6.36,8.2,7.86,12.2,6.69,7.67,5.92,9.1,9.41,7.9,10.84,11.77,9.81,10.77,15.07,13.54,9.62,10.26,9.75
ODISHA,PURI,4.73,4.7,4.41,4.18,3.91,3.84,3.81,4.35,3.98,4.25,4.06,4.36,4.26,4.29,3.75,4.34,4.24,3.51,4.25,2.71
GUJARAT,VADODARA,18.41,16.98,19.65,15.88,14.94,13.92,13.52,11.95,13.24,12.16,11.24,12.7,14.76,12.76,13.83,13.91,14.38,13.92,16.34,11.39
MIZORAM,MAMIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MEGHALAYA,WEST GARO HILLS,3.23,1.98,2.64,3.18,1.8,2.96,2.66,3.38,3.7,3.33,3.26,4.1,3.95,4.24,4.04,4.02,4.09,3.91,4.62,3.1
NAGALAND,PHEK,5.29,-,3.61,-,-,-,7.59,6.92,4.1,5.11,6.9,-,5.75,8.79,4.59,5.07,2.83,-,-,-
WEST BENGAL,KOCH BIHAR,3.63,2.64,3.03,3.16,3.56,3.31,3.28,3.41,3.71,3.31,3.49,3.33,3.62,4.08,3.2,3.66,3.38,2.63,2.31,3.32
MAHARASHTRA,BHANDARA,8.58,9.34,8.85,8.02,9.21,7.69,8.63,8.47,8.75,9.41,7.58,8.58,9.11,7.4,8.26,9.73,9.93,9.8,9.84,5.5
WEST BENGAL,MURSHIDABAD,5.63,6.97,6.63,6.95,7.55,7.98,8.07,7.96,7.83,9.09,8.61,8.82,10.43,10.48,9.34,9.54,8.53,8.46,8.25,9.03
TAMILNADU,TIRUVANNAMALAI,7.9,5.67,10.59,7.65,8.05,6.07,9.07,5.9,7.55,9.13,4.77,4.62,7.84,9.93,13.77,14.14,9.55,7.19,9.64,5.26
DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,-,-,-,-,7.77,7.35,7.19,6.79,7.84,7.5,6.2,6.77,4.68,6.86,8.44,8.87,8.45,8.17,10.31,4.1
BIHAR,BHAGALPUR,4.68,4.95,6.44,5.27,5.99,5.41,6.58,5.7,6.06,6.33,6.81,6.38,6.66,6.11,6.27,6.95,7.72,6.63,7.21,5.74
GUJARAT,AMRELI,19.66,19.55,15.42,14.52,17,12.34,13.96,11.33,12.68,15.49,11.86,13.9,14.19,14.82,14.01,15.15,14.34,16.06,16.97,8.15
RAJASTHAN,NAGAUR,34.96,32.62,38.45,-,34.62,34.62,33.74,36.21,35.62,35.77,50.55,50.57,51.35,52,36.63,35.66,36.07,47.84,37.87,38.95
GOA,SOUTH GOA,-,-,-,-,7,6.23,6.31,5.97,7,6.84,6.46,6.92,7.22,7.14,6.35,7.07,5.86,6.7,5.45,5.32
MAHARASHTRA,CHANDRAPUR,7.63,7.7,7.61,7.35,8.57,7.65,7.91,7.49,7.78,9.91,7.61,7.79,7.56,6.93,7.65,7.36,6.93,7.75,9.07,4.09
LAKSHDWEEP,LAKSHADWEEP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UTTAR PRADESH,ALIGARH,6.25,6.29,6.61,7.25,7.07,7.4,7.3,7.79,7.96,8.25,7.44,7.27,7.42,6.81,7.32,7.41,7.96,9.42,18.7,24.78
MANIPUR,UKHRUL,-,-,-,-,2.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TAMILNADU,TIRUCHIRAPPALLI,7.92,6.4,9.08,7.72,7.03,5.16,7.2,5.65,6.81,9.19,6.8,4.72,9.9,9.14,13.67,12.39,10.76,9.25,11.08,7.31
ODISHA,NUAPADA,6.86,6.46,7.4,7.4,6.76,6.77,6.51,5.53,7.19,7.02,7.72,7.95,7.36,7.41,5.28,5.77,5.99,4.93,4.53,3.35
MADHYA PRADESH,RAJGARH,14.35,13.29,15.82,13.46,12.33,11.37,12.11,13.01,12.79,14.57,13.49,12.89,12.77,11.62,11.57,13.05,10.74,12.69,13.67,7.53
UTTAR PRADESH,BAHRAICH,4.83,5.15,5.66,5.51,5.32,5.43,5.47,5.41,5.13,5.22,5.12,5.44,4.87,5.99,4.92,4.82,4.53,4.57,13,12.39
